id,name,published_at,created_at,archived,alternate_url,employer_id,employer_name,employer_trusted,area_id,area_name,salary_from,salary_to,salary_currency,salary_gross,experience_id,experience_name,employment_id,employment_name,schedule_id,schedule_name,professional_roles_id,professional_roles_name,key_skills,snippet,response_url
131161624,Главный Финансовый аналитик,2026-03-15T11:25:29+0300,2026-03-15T11:25:29+0300,False,https://hh.ru/vacancy/131161624,6096631,ПСБ Бизнес,True,1,Москва,120000.0,130000.0,RUR,False,moreThan6,Более 6 лет,full,Полная занятость,fullDay,Полный день,134,"Финансовый аналитик, инвестиционный аналитик","Разработка методологии управленческой отчетности, MS Power BI, Продвинутый пользователь ПК, Excel, Анализ финансовых показателей, 1С: Предприятие 8, Умение работать с большим количеством информации, План-фактный анализ бюджета, Финансовое моделирование, Бюджетирование, Инвестиционный анализ, Оценка инвестиционных проектов, Управленческий учет, Бухгалтерский учет, МСФО","{'requirement': 'профильное высшее образование (финансово-экономическое, бухгалтерское). - опыт работы на аналогичных позициях – более 5 лет. - наличие диплома DipIFR. - отличное знание РСБУ. - ', 'responsibility': 'Формирование управленческой отчетности (PL, CF (прямой и косвенный метод), BS) по компаниям Группы по РСБУ (ежемесячно). - Трансформация индивидуальной отчетности компаний...'}",
130913008,Аналитик данных / Аналитик CPA (Junior),2026-03-15T10:09:30+0300,2026-03-15T10:09:30+0300,False,https://hh.ru/vacancy/130913008,12552028,Global Trads,True,1,Москва,250000.0,350000.0,RUR,False,between1And3,От 1 года до 3 лет,full,Полная занятость,remote,Удаленная работа,156,"BI-аналитик, аналитик данных","SQL, MS Excel, Power BI, Аналитическое мышление, Визуализация данных","{'requirement': 'Работать с BI отчетностью (опыт работы будет преимуществом, но готовы обучить). Желательно иметь опыт работы <highlighttext>аналитиком</highlighttext> от 1 года в...', 'responsibility': 'Анализировать продажи и работу Контактных центров. Составлять регулярные аналитические отчеты, необходимые для анализа ключевых показателей эффективности. Составлять отчеты для руководства...'}",
131180995,Бизнес-аналитик,2026-03-15T17:42:18+0300,2026-03-15T17:42:18+0300,False,https://hh.ru/vacancy/131180995,3809754,ВТБ Факторинг,True,1,Москва,,250000.0,RUR,False,between1And3,От 1 года до 3 лет,full,Полная занятость,fullDay,Полный день,150,Бизнес-аналитик,"Бизнес-анализ, Power BI, Анализ процессов в IT, Работа с процессами в IT, Визуализация бизнес-процессов","{'requirement': 'Умение оценивать бизнес-процессы по метрикам. — Работа по профилю не менее 2-х лет. — Знание нотаций BPMN или аналоги.', 'responsibility': 'Описать методологию сбора отчётности (показатели и источники) совместно с СА. Описание ролей в <highlighttext>аналитике</highlighttext> (матрица доступов, разработчики и т.д.). '}",
131152391,Аналитик данных,2026-03-15T09:21:45+0300,2026-03-15T09:21:45+0300,False,https://hh.ru/vacancy/131152391,5023187,Автономная Некоммерческая организация Агентство Креативных Индустрий,True,1,Москва,70000.0,,RUR,False,between1And3,От 1 года до 3 лет,full,Полная занятость,fullDay,Полный день,156,"BI-аналитик, аналитик данных",,"{'requirement': 'Высшее образование (техническое/ финансовое/ экономическое/ математическое). Понимание принципов анализа данных, проверки гипотез, поиска взаимосвязей и интерпретации результатов в бизнес-логике. ', 'responsibility': '...данных с их последующим анализом и интерпретацией результатов. Подготовка презентаций. Предложение и реализация идей по улучшению отчетности и <highlighttext>аналитики</highlighttext> поведения.'}",
130844658,Аналитик данных,2026-03-14T20:02:53+0300,2026-03-14T20:02:53+0300,False,https://hh.ru/vacancy/130844658,4576601,Международная академия фейспластики и остеопатии,True,1,Москва,230000.0,280000.0,RUR,False,between1And3,От 1 года до 3 лет,full,Полная занятость,remote,Удаленная работа,156,"BI-аналитик, аналитик данных","Анализ данных, MS SQL Server, DAX, SQL, pandas, ETL, Clickhouse, PostgreSQL","{'requirement': 'Уверенное владение SQL — оконные функции, подзапросы, агрегации, оптимизация запросов. Опыт работы с DWH — понимание архитектуры хранилища, слоёв данных, витрин. ', 'responsibility': 'Писать SQL-запросы к DWH для извлечения, трансформации и подготовки данных. Разрабатывать и поддерживать дашборды в Power BI и Looker...'}",
130611244,Младший аналитик,2026-03-15T14:28:16+0300,2026-03-15T14:28:16+0300,False,https://hh.ru/vacancy/130611244,10001085,ФРОГ,True,1,Москва,120000.0,,RUR,True,noExperience,Нет опыта,full,Полная занятость,fullDay,Полный день,40,Другое,,"{'requirement': 'Высшее техническое образование. Продвинутый Excel: сложные формулы, работа с датами, сводные таблицы, базовая автоматизация (макросы будет плюсом). Базовый опыт работы...', 'responsibility': 'Сбор, обработка и анализ данных, включая отчетность, первичный сбор данных (качественных и количественных). Мониторинг и ведение базы данных, работа с...'}",
131225892,Системный аналитик (SberНадежность),2026-03-15T10:05:10+0300,2026-03-15T10:05:10+0300,False,https://hh.ru/vacancy/131225892,3529,СБЕР,True,1,Москва,400000.0,,RUR,True,between1And3,От 1 года до 3 лет,full,Полная занятость,fullDay,Полный день,10,Аналитик,,"{'requirement': 'Высшее техническое образование. Опыт работы системным <highlighttext>аналитиком</highlighttext> от 2х лет. Навыки работы с REST API (описание эндпоинтов, понимание структуры...', 'responsibility': 'Разрабатывать и внедрять ИИ-агентов — виртуальных помощников для команд сопровождения. Применять LLM-решения для интеллектуальной обработки данных и автоматизации рутинных...'}",
131174894,Аналитик / Инвестиционный аналитик,2026-03-15T15:26:32+0300,2026-03-15T15:26:32+0300,False,https://hh.ru/vacancy/131174894,38092,Ricci,True,1,Москва,100000.0,130000.0,RUR,False,between1And3,От 1 года до 3 лет,full,Полная занятость,fullDay,Полный день,10,Аналитик,"Аналитическое мышление, Анализ инвестиционных проектов","{'requirement': 'Высшее образование. Опыт работы в сфере недвижимости и понимание рынка недвижимости, инвестиций. Уверенный пользователь ПК: Excel (сводные таблицы, ВПР, формулы...', 'responsibility': 'Сбор и систематизация данных по инвестиционным сделкам. Подготовка справок, экспресс-<highlighttext>аналитики</highlighttext> и мини-презентаций по земельным активам и инвестиционным проектам...'}",
131034456,Бизнес аналитик в финансовый отдел,2026-03-15T15:01:16+0300,2026-03-15T15:01:16+0300,False,https://hh.ru/vacancy/131034456,10032645,Саприм,True,1,Москва,160000.0,200000.0,RUR,False,between3And6,От 3 до 6 лет,full,Полная занятость,fullDay,Полный день,134,"Финансовый аналитик, инвестиционный аналитик",,"{'requirement': 'Высшее экономическое/финансовое образование. Опыт в автоматизации систем учета и бюджетирования, организации бизнес-процессов. Опыт финансового моделирования (создание финансовых моделей...', 'responsibility': 'Внедрение системы бюджетирования. Создание с нуля проекта автоматизации управленческого учета (abc-costing). Создание финансовых моделей с нуля по новым проектам...'}",
131155023,Финансовый аналитик,2026-03-15T10:00:04+0300,2026-03-15T10:00:04+0300,False,https://hh.ru/vacancy/131155023,1533703,Фармфорвард,True,1,Москва,,200000.0,RUR,False,between3And6,От 3 до 6 лет,full,Полная занятость,fullDay,Полный день,134,"Финансовый аналитик, инвестиционный аналитик","Финансовый анализ, Аналитическое мышление, Работа с базами данных, Финансовый менеджмент","{'requirement': 'Высшее профильное образование. Опыт составления бюджета и управленческой отчетности (полностью или отдельных отчетов) дистрибьюторской компании (PL, CF). Опыт составления финансовых...', 'responsibility': 'Участие в годовом бюджетном планирование, с дальнейшим переходом в ежеквартальное скользящее планирование (Rolling forecast). Ежемесячная подготовка пакета управленческой отчетности (PL...'}",
